"id","name","brand","area","lat","lng","reportCount","photoUrl","updatedAt","createdAt","sourceId","importSource","importProvince","lastReportId","lastReporter","fuel_diesel","fuel_gas91","fuel_gas95","fuel_e20","fuel_e85","fuel_lpg"
"_7leksP1Fbo7CYs0RB-y5","PT เลี่ยงเมืองชลบุรี","OTHER","เมืองชลบุรี","13.3656492694609","101.018321067662","1","","2026-03-20T12:52:15.876+00:00","2026-03-20T12:52:15.876+00:00","user_1774011135171","thaipumpradar","ชลบุรี","mUTmeoNG7wEpR0Jhv5T_h","PumpRadar","empty","unknown","empty","high","unknown","unknown"
"_AjbdP6aJvNxTH5Ywc3pp","บางจาก","BANGCHAK","เมืองปทุมธานี","13.9846359790581","100.595430394323","1","","2026-03-21T09:18:51.994+00:00","2026-03-21T09:18:51.994+00:00","user_1773742157437","thaipumpradar","ปทุมธานี","q3W4bHYSItQdcyhQoBHm2","PumpRadar","high","unknown","high","unknown","unknown","unknown"
"_Fbp2pTkJQgOye6ZdPYXC","ปั้มแถวชัยนาน","OTHER","พยุหะคีรี","15.4384873276095","100.144597285983","1","","2026-03-21T02:48:26.42+00:00","2026-03-21T02:48:26.42+00:00","user_1774061305794","thaipumpradar","นครสวรรค์","Wxp8u-LK9L0BP49J79P8W","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"_MTP433N56eqcPb__3OBJ","บางจาก ราชพฤกษ์ตัดใหม่ (ขาเข้า)","BANGCHAK","งข่อย","13.9694258267462","100.463349249945","1","","2026-03-20T04:57:07.746+00:00","2026-03-20T04:57:07.746+00:00","user_1773982627152","thaipumpradar","นนทบุรี","pNzSMqDQv9hjCSYK7vFdH","PumpRadar","high","high","high","high","unknown","unknown"
"_P7W2iTDw5BP8OsGKUKfa","ปั้มน้ำมันบางจาก - ห้างหุ้นส่วนจำกัด จริงใจบริการ","BANGCHAK","บางกรวย","13.8001670353295","100.476322265924","1","","2026-03-18T06:31:47.237+00:00","2026-03-18T06:31:47.237+00:00","user_1773815505413","thaipumpradar","นนทบุรี","d_IacU0l3G-dDrHkYH3u-","PumpRadar","high","unknown","high","high","unknown","unknown"
"_Y58SPkqNMQEhDqUgUi7c","หนองพันกงบริการ","OTHER","เมืองสุพรรณบุรี","14.5653216648643","99.9929978598456","1","","2026-03-17T23:23:59.405+00:00","2026-03-17T23:23:59.405+00:00","user_1773789837775","thaipumpradar","สุพรรณบุรี","2iHFjcDth7OeKyTZqRC2D","PumpRadar","medium","unknown","medium","unknown","unknown","unknown"
"_z0zGhIpS0cj2NviTvSIm","caltex อำเภอลอง จังหวัดแพร่","CALTEX","สูงเม่น","18.0362874752834","100.152727173766","1","","2026-03-18T06:59:51.835+00:00","2026-03-18T06:59:51.835+00:00","user_1773817158922","thaipumpradar","แพร่","cCbb_XtidhxNPQmy9wSsc","PumpRadar","empty","unknown","empty","unknown","unknown","unknown"
"0_mi9bxKhIZve7hMdJOx9","ป ต ท","OTHER","ศรีสัชนาลัย","17.5191964261807","99.7624689236372","1","","2026-03-20T03:53:55.02+00:00","2026-03-20T03:53:55.02+00:00","user_1773978833949","thaipumpradar","สุโขทัย","i4tuCC34Cbn6cacGIvM73","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"04ghVzKhM8GRAKADpot7c","สี่แยกพัฒนา ระยอง","OTHER","บ่อทอง","13.2033497139186","101.578621270016","1","","2026-03-21T00:35:05.623+00:00","2026-03-21T00:35:05.623+00:00","user_1774053305256","thaipumpradar","ชลบุรี","haaaHhbml88gTpGHMK6sW","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"04RLAREdWVOBQhu1wvQxb","ดีเซล","OTHER","สุวรรณภูมิ","15.6518386491434","103.777994757674","1","","2026-03-21T01:09:44.515+00:00","2026-03-21T01:09:44.515+00:00","user_1774055383443","thaipumpradar","ร้อยเอ็ด","P-jTqRa3U3dilHbXVk_A7","PumpRadar","empty","unknown","medium","unknown","unknown","unknown"
"076mleV8jsDmNhXhf5ygC","ป่าสัก","OTHER","เมืองลำพูน","18.5477640502637","99.0330544456717","1","","2026-03-20T08:41:36.42+00:00","2026-03-20T08:41:36.42+00:00","user_1773752341169","thaipumpradar","ลำพูน","BdF39hWpTcAUA3kiJxQxd","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"0E1V2fKNDkA1TEyY5v80r","ปตท.แม่ต๋ำ","PTT","เมืองพะเยา","19.1514715321002","99.9131005073847","1","","2026-03-20T01:14:44.932+00:00","2026-03-20T01:14:44.932+00:00","user_1773737485775","thaipumpradar","พะเยา","cyQWVVkc8b-AQdd3Vf0pz","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"0FyA4y8X9fChijprE41ip","ปั้มน้ำมันในลำลูกกาจ.ปทุมธานี","OTHER","ลำลูกกา","13.9247797197442","100.757993307937","1","","2026-03-20T23:37:41.347+00:00","2026-03-20T23:37:41.347+00:00","user_1774049860468","thaipumpradar","ปทุมธานี","3lZvdUhbUnnjW04s4zICB","PumpRadar","high","unknown","unknown","unknown","unknown","unknown"
"0lX0gcEnFzE2ZUOmQUjdj","ปั๊มน้ำมัน PT","PT","เมืองนครปฐม","13.8332918045505","100.039408916259","1","","2026-03-20T12:50:13.228+00:00","2026-03-20T12:50:13.228+00:00","user_1773741091709","thaipumpradar","นครปฐม","q1mAVOloCbeD1EQwC9sFP","PumpRadar","empty","unknown","empty","unknown","unknown","unknown"
"0O20csNjiCf0dx263uj4y","ปตท.ลำดวน","PTT","ลำดวน","14.7362980131681","103.658116427647","1","","2026-03-21T06:32:38.544+00:00","2026-03-21T06:32:38.544+00:00","user_1773963178950","thaipumpradar","สุรินทร์","UidPEMSAA1uSBnmCvQHvf","PumpRadar","empty","unknown","unknown","unknown","unknown","unknown"
